PF27293	27
PF27237	27
PF27235	27
PF21768	34
PF27226	27
PF29613	27
PF27225	27
PF27311	27
PF27367	27
PF27374	27
PF29251	27
PF21682	27
PF27306	27
PF27302	27
PF04671	20.9
PF21254	27
PF17366	25
PF21994	27.4
PF17992	26.3
PF25117	27.5
PF25115	27.6
PF05641	19
PF07468	25
PF18021	26.8
PF17558	27
PF17998	27.1
PF19712	27
PF26681	27
PF22627	27
PF18079	23.6
PF24858	28.3
PF09171	27.4
PF05039	27
PF10427	25
PF22474	27
PF22362	27
PF18236	25
PF18351	25
PF22472	27
PF22476	27
PF22333	27
PF06376	25
PF28140	27
PF18746	25
PF04647	23
PF19188	27
PF05931	22.7
PF04730	25
PF18134	26.7
PF11440	25
PF29319	27
PF06396	25
PF09229	23.6
PF25911	27
PF25910	23.6
PF17793	27
PF14412	22.3
PF18743	26.1
PF17327	25
PF00578	26
PF13911	27
PF08327	22.1
PF09236	27
PF21423	27.9
PF21986	27
PF01594	34.3
PF21368	23
PF31232	27
PF15334	27
PF01808	25
PF31144	27
PF31158	27
PF31134	27
PF08210	250
PF16168	27
PF14186	25
PF08910	25
PF18158	22.9
PF21008	50
PF14962	29.9
PF14721	25.9
PF04548	27
PF13772	27
PF06316	23
PF28272	27
PF10315	29.5
PF11489	27
PF01987	25.7
PF17096	25.4
PF29468	40.8
PF29059	27
PF25459	27
PF29317	27
PF17050	26.8
PF30387	27
PF21568	27.8
PF16780	27
PF22871	26.7
PF03915	31.6
PF23153	27
PF10592	25
PF22879	28
PF21759	27.5
PF00731	30
PF00586	15
PF02769	23.1
PF15298	27
PF26649	27
PF27982	27
PF29010	30.7
PF30678	27
PF14469	22
PF15304	27
PF10469	24.4
PF10470	22.7
PF04988	26.8
PF27603	32.4
PF27598	27
PF05716	25
PF27911	27
PF30465	27
PF29587	27
PF12443	28.1
PF29996	27
PF26023	27
PF00490	24.6
PF01262	23
PF05222	30.4
PF06610	25
PF11839	23.1
PF00842	25
PF01168	24.1
PF09135	22
PF01918	25
PF08027	27.6
PF16720	23.8
PF17527	28.3
PF11606	27.6
PF00171	23
PF01081	27.8
PF00596	22.2
PF30389	27
PF01263	27
PF00248	24
PF11266	28
PF01315	31.3
PF23180	27
PF03752	25.4
PF12165	21
PF15924	29.8
PF08660	27
PF22686	27
PF05208	23.6
PF03155	25
PF30637	27
PF11182	34.4
PF13372	25.2
PF05426	22.2
PF08787	29.7
PF27285	27
PF16822	26.5
PF01889	25
PF13949	30.8
PF06029	26
PF27981	27
PF09004	21
PF15129	27
PF14864	27
PF14863	26
PF06224	25.9
PF24741	26.5
PF12810	24.5
PF00245	24.4
PF26751	25.8
PF03561	27
PF05953	2.1
PF29176	27
PF06351	31.2
PF25312	27
PF05549	26
PF06545	27
PF11392	25
PF30333	27
PF04864	22
PF15309	27
PF18727	25
PF11744	20.6
PF17696	25
PF24890	27
PF04030	23.1
PF04852	26.6
PF22128	22
PF06401	24.3
PF06400	29.7
PF00128	25
PF02806	17
PF22026	27
PF02903	23
PF09071	27
PF07821	27
PF09154	21
PF04168	20.8
PF14456	28
PF06964	27
PF09261	31.1
PF08829	25
PF17480	25
PF02883	27.6
PF02296	25.4
PF01589	25
PF00943	27
PF01563	25
PF03229	21
PF18489	28.7
PF29476	27
PF02816	21.3
PF01120	25.2
PF02232	25
PF09608	24.5
PF17989	26.3
PF28246	27
PF27270	27
PF27288	27
PF27301	27
PF15299	28.9
PF25384	50
PF30910	27
PF10369	23.2
PF16541	27.5
PF20080	26.4
PF11092	25
PF30270	27
PF02430	25.8
PF24112	27
PF07344	27.2
PF28164	27
PF17645	25.9
PF12475	25
PF05111	25
PF02948	27
PF15757	27
PF09422	26
PF12190	28
PF21405	27.8
PF21404	27.1
PF04709	23.4
PF07313	27
PF01425	27
PF01510	26
PF01520	27
PF05382	21
PF12671	23.2
PF01979	25
PF04909	26.4
PF07969	29.7
PF12224	22
PF09663	25
PF11741	20.5
PF24837	27
PF10706	21
PF10023	25
PF00155	19.7
PF00202	30.5
PF01063	28.5
PF00266	21.5
PF01593	19.8
PF21332	27
PF02293	25
PF10997	27
PF01871	25
PF00909	23.2
PF29121	27
PF29120	27
PF14828	30.4
PF10423	27
PF02461	27.5
PF27634	27
PF04896	26.7
PF03782	25
PF00501	29.9
PF13193	24.5
PF14535	25
PF23562	20.8
PF23024	27
PF17113	21
PF20068	27
PF16561	26.8
PF04739	24.3
PF21147	27
PF27529	27
PF19326	27
PF05195	24.6
PF22907	27.7
PF25823	27
PF09081	27.6
PF28028	27
PF28178	27
PF09094	27
PF09095	22
PF22423	27
PF22582	27
PF20922	27.1
PF12859	25
PF03256	21
PF15243	27
PF17256	25
PF08672	23
PF12895	27.2
PF12896	23.1
PF12894	21.1
PF12862	3.9
PF04049	23.8
PF12856	28.4
PF10471	24.5
PF01821	21.4
PF24531	27
PF22586	27
PF02166	25.3
PF22068	27
PF22069	27
PF22070	27.7
PF06369	25
PF03139	32.4
PF09582	30.3
PF01094	25.4
PF25443	28.5
PF19339	26.4
PF12240	23.5
PF28904	27
PF08174	24
PF16018	27
PF29868	27
PF02520	29.3
PF00023	14.7
PF29131	27
PF31069	27
PF31008	27
PF28486	27
PF07260	22
PF24567	27
PF11904	25
PF27687	27
PF18418	26.1
PF22170	27
PF12796	27.3
