f_id,current_name,correct_name,pfam_acc,introduced_release
6074.1.1.14,PF30879,LIL3_,PF30879,v293.1
6074.1.1.16,PF28687,STR4A_N,PF28687,v293.1
6082.1.1.3,PF29074,SGBP_N,PF29074,v293.1
6088.1.1.2,PF26051,PWI_ABCF3,PF26051,v293.1
611.12.1.3,PF28690,SPACA6_N,PF28690,v293.1
611.12.1.4,PF31275,TEX51,PF31275,v293.1
611.3.1.13,PF26718,TPR_CUL9,PF26718,v293.1
6.1.1.33,PF31214,MytiLec,PF31214,v293.1
6.1.1.40,PF29113,PGA60_trefoil,PF29113,v293.1
6.1.1.42,PF26322,Beta_trefoil_Wo,PF26322,v293.1
6.1.1.49,PF29304,ECU07_1090_N,PF29304,v293.1
6119.1.1.2,PF25869,3HB_CusB,PF25869,v293.1
6132.1.1.14,PF29261,MJ1145,PF29261,v294
614.1.1.21,PF26664,zf-BED_2,PF26664,v293.1
614.1.1.30,PF29968,Tiggrin_M,PF29968,v293.1
6146.1.1.2,PF30455,Cas3_4th,PF30455,v293.1
6155.1.1.16,PF28566,MEX1_N,PF28566,v293.1
6158.1.1.15,PF28621,NUP58_M,PF28621,v293.1
6159.1.1.8,PF28621,NUP58_M,PF28621,v293.1
616.1.1.22,PF28936,uS15_N,PF28936,v293.1
616.1.1.23,PF28719,Dhx29_hel,PF28719,v293.1
616.1.1.29,PF28401,MHP1_C,PF28401,v293.1
